Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),Carbon Emissions(g/km)
5,8,AS6,X,15.5,10.3,13.2,21,309
5,8,M6,X,16.7,10.2,13.8,20,324
5.2,8,M6,Z,17.2,11.3,14.6,19,341
3.5,6,AS6,X,16.2,12.8,14.6,19,344
3.7,6,AS6,X,16.7,13,15.1,19,354
3.7,6,AS6,E,23,18.5,20.9,14,343
2,4,AS6,X,11.8,8.1,10.1,28,238
3.5,6,AS6,X,13.1,8.7,11.1,25,260
3.5,6,AS6,E,17.6,11.7,15,19,249
3.5,6,AS6,X,14.7,9.8,12.5,23,293
3.5,6,AS6,X,13.6,9.9,12.4,23,291
3.5,6,AS6,E,18.7,13.4,16.3,17,271
2.5,4,AS6,X,11.9,8.7,10.4,27,244
2.5,4,AS6,E,16.1,11.9,14.2,20,234
2.5,4,AS6,X,12.4,8.8,10.8,26,253
2.5,4,AS6,E,16.8,12.1,14.7,19,242
3.8,6,AS8,X,14.3,9.5,12.1,23,286
5,8,AS8,Z,17.2,10.5,14.2,20,332
3.3,6,AS8,Z,13.7,9.7,11.9,24,279
5,8,AS8,Z,15.2,10.2,13,22,306
2.5,4,A6,X,11,9.2,10.2,28,239
3.6,6,A6,X,13,9.3,11.3,25,265
2.5,4,A6,X,11.2,9.4,10.4,27,243
3.6,6,A6,X,13.3,9.5,11.6,24,271
2.5,4,A6,X,12,9.2,10.7,26,252
2.5,4,M6,X,12.2,9.2,10.9,26,254
2.8,4,A6,D,10.8,7.9,9.5,30,255
3.6,6,A8,X,13.4,9.6,11.7,24,274
2.5,4,A6,X,12.7,9.6,11.3,25,263
2.8,4,A6,D,12.1,8.4,10.4,27,280
3.6,6,A8,X,14,9.9,12.2,23,286
6,8,A6,X,21.8,14.8,18.6,15,438
6,8,A6,X,22.3,14.9,19,15,445
5.3,8,A6,X,14.6,10.3,12.7,22,297
5.3,8,A8,X,15.2,10.7,13.1,22,309
6.2,8,A8,Z,15.9,11.2,13.8,20,323
4.3,6,A6,X,13.4,10,11.9,24,279
4.3,6,A6,E,19.3,14.3,17.1,17,284
5.3,8,A6,X,14.6,10.3,12.7,22,298
5.3,8,A6,E,19.7,13.9,17.1,17,284
5.3,8,A6,X,15,10.7,13.1,22,307
5.3,8,A8,X,15.9,11.5,13.9,20,327
6.2,8,A8,Z,16,11.7,14.1,20,330
4.3,6,A6,X,14.1,10.6,12.5,23,294
4.3,6,A6,E,20.3,15.2,18,16,294
5.3,8,A6,X,15,10.7,13.1,22,307
5.3,8,A6,E,20.7,14.4,17.9,16,317
5.3,8,A8,X,14.4,11.2,13,22,303
2.4,4,A6,X,11,7.5,9.4,30,221
2.4,4,A6,X,11,7.5,9.4,30,221
2.4,4,A6,E,15.6,11,13.6,21,223
3.6,6,A6,X,14.1,9.7,12.1,23,285
2.4,4,A6,X,11.5,8.3,10.1,28,237
3.6,6,A6,X,15,10.4,13,22,304
5.3,8,A6,X,15.1,10.4,13,22,305
5.3,8,A6,X,15.1,10.4,13,22,305
5.3,8,A6,E,20,13.5,17.1,17,284
5.3,8,A6,X,15.2,10.8,13.2,21,310
5.3,8,A6,X,15.2,10.8,13.2,21,310
5.3,8,A6,E,20.8,14.5,18,16,299
6.2,8,A8,Z,16,11.7,14.1,20,330
5.3,8,A6,X,15.1,10.4,13,22,305
5.3,8,A6,X,15.1,10.4,13,22,305
5.3,8,A6,E,20,13.5,17.1,17,284
5.3,8,A6,X,15.4,10.8,13.3,21,312
5.3,8,A6,X,15.4,10.8,13.3,21,312
5.3,8,A6,E,22.1,15.4,19.1,15,317
6.2,8,A8,Z,16.3,11.7,14.2,20,333
2.4,4,AV7,X,9.2,6.9,8.2,34,190
2.4,4,M6,X,10.4,7.4,9,31,210
3.5,6,AS6,X,11.4,7.4,9.6,29,225
3.5,6,M6,X,12.9,8.4,10.9,26,254
2.4,4,AV,X,8.7,6.6,7.8,36,180
3.5,6,A6,X,11.4,7.2,9.5,30,223
2,4,AV,X,4.9,5.1,5,56,114
1.5,4,AV7,X,7.5,5.9,6.8,42,158
1.5,4,M6,X,7.7,5.7,6.8,42,159
2,4,AV,X,7.8,6,7,40,163
2,4,M6,X,8.5,6.1,7.4,38,173
1.5,4,AV,X,7.4,5.6,6.6,43,153
2,4,AV,X,7.8,6,7,40,163
2,4,M6,X,8.5,6,7.4,38,172
1.5,4,AV,X,7.7,6,6.9,41,162
1.5,4,AV7,X,7.9,6.6,7.3,39,170
1.5,4,AV7,Z,7.9,6.6,7.3,39,170
1.5,4,M6,X,8,6.2,7.2,39,167
1.5,4,M6,Z,8,6.2,7.2,39,167
1.5,4,AV,X,8.4,7,7.8,36,181
1.5,4,AV,X,8.7,7.2,8,35,188
1.5,4,AV,X,7,5.9,6.5,43,154
1.5,4,AV7,X,7.6,6.4,7,40,164
1.5,4,M6,X,8.1,6.6,7.4,38,174
1.8,4,AV,X,8.3,6.9,7.7,37,180
1.8,4,AV7,X,8.3,6.9,7.7,37,180
1.8,4,M6,X,9.4,7.1,8.4,34,195
1.8,4,AV,X,8.9,7.5,8.2,34,194
1.8,4,AV7,X,8.9,7.5,8.2,34,194
3.5,6,A6,X,12.3,8.6,10.7,26,251
3.5,6,A6,X,12.4,8.8,10.8,26,254
3.5,6,A6,X,13,9.3,11.3,25,266
3.5,6,AS9,X,12.4,9.3,11,26,256
3.5,6,A6,X,12.8,9.5,11.3,25,264
1.6,4,AS6,X,8.9,6.6,7.9,36,182
1.6,4,M6,X,8.8,6.5,7.8,36,184
2,4,AS6,X,8.3,6.4,7.4,38,174
2,4,M6,X,9.1,6.6,8,35,187
2,4,AS6,X,9.8,7.3,8.7,32,206
2,4,M6,X,9.8,7.2,8.7,32,204
1.6,4,AM6,X,4.3,4.4,4.4,64,103
1.6,4,AM6,X,4.2,4,4.1,69,96
3.3,6,AS6,X,12.9,9.4,11.3,25,265
3.3,6,AS6,X,13,9.7,11.5,25,269
2.4,4,AS6,X,11.1,8.6,10,28,235
2,4,AS6,X,12.5,9.6,11.2,25,264
2.4,4,AS6,X,12,9.1,10.7,26,253
3.3,6,AS6,X,13.9,10.8,12.5,23,295
2,4,AS6,X,10.5,7.6,9.2,31,216
2.4,4,AS6,X,9.4,6.7,8.2,34,194
2.4,4,AS6,X,10,7.2,8.7,32,207
2,4,AS6,X,6.3,5.7,6,47,143
2,4,AS6,X,6,5.3,5.7,50,137
1.6,4,AM7,X,9.9,8.5,9.3,30,221
2,4,AS6,X,10.1,7.8,9,31,213
2,4,AS6,X,11,9.1,10.2,28,241
1.6,4,AM6,X,8.3,6.7,7.6,37,180
1.6,4,M6,X,8.9,6.9,8,35,188
1.6,4,AS6,X,8.9,7.3,8.2,34,193
1.6,4,M6,X,9.4,7.2,8.4,34,200
2,4,AS7,Z,10.7,8.4,9.6,29,226
3,6,AS7,Z,12.6,8.8,10.9,26,256
3,6,AS7,Z,12.3,9.2,10.9,26,257
3.5,6,AS7,Z,9.1,7.7,8.5,33,200
2,4,AS7,Z,11.2,8.5,10,28,233
3,6,AS7,Z,12.4,8.8,10.8,26,253
3,6,AS7,Z,12.5,9.2,11,26,259
3.7,6,AS7,Z,13.2,9.8,11.7,24,274
5.6,8,AS7,Z,14.9,10.2,12.8,22,300
3.5,6,AS7,Z,8.4,7.1,7.8,36,184
2,4,AM7,Z,9.7,7.1,8.5,33,200
2,4,AM7,Z,10.6,8,9.4,30,221
3.7,6,AS7,Z,13.7,9.8,11.9,24,280
3.5,6,AV7,Z,11.9,8.8,10.5,27,246
3.5,6,AV7,Z,12.5,9.1,10.9,26,257
2.5,4,AV7,X,9.5,8.6,9.1,31,214
3.7,6,AS7,Z,14.5,10.8,12.8,22,301
5.6,8,AS7,Z,17.4,12.2,15.1,19,355
3,6,AS8,Z,13.3,10,11.8,24,277
3,6,AS8,Z,11.9,8.5,10.4,27,242
3,6,M6,Z,14.9,9.8,12.6,22,296
3,6,AS8,Z,11.9,8.5,10.4,27,242
3,6,M6,Z,14.9,9.8,12.6,22,296
5,8,AS8,Z,15.6,10.4,13.3,21,311
5,8,AS6,Z,15.6,10.4,13.3,21,311
3,6,AS8,Z,12.4,8.8,10.8,26,253
3,6,M6,Z,15.3,10,12.9,22,302
3,6,AS8,Z,13,9.2,11.3,25,265
3,6,AS8,Z,12.4,8.8,10.8,26,253
3,6,M6,Z,15.3,10,12.9,22,302
3,6,AS8,Z,13,9.2,11.3,25,265
2,4,AS8,D,7.8,5.8,6.9,41,186
3,6,AS8,Z,11.8,8.2,10.2,28,238
2,4,AS8,D,7.8,5.8,6.9,41,186
3,6,AS8,Z,12,8.4,10.4,27,243
3,6,AS8,Z,14,9,11.8,24,276
3,6,AS8,Z,14,9.4,11.9,24,280
5,8,AS8,Z,15.8,10.3,13.3,21,313
5,8,AS8,Z,15.8,10.3,13.3,21,313
2.4,4,A9,X,11,7.8,9.6,29,225
3.2,6,A9,X,11.4,8.3,10,28,234
2.4,4,A9,X,11.3,8.4,10,28,235
3.2,6,A9,X,11.6,8.6,10.3,27,241
2.4,4,A9,X,11.4,8.7,10.2,28,240
3.2,6,A9,X,12.8,9,11.1,25,259
2.4,4,A9,X,12.1,9.4,10.9,26,256
3.2,6,A9,X,12.9,9.9,11.6,24,269
2,4,AV,X,10.8,9,10,28,235
2,4,M5,X,10.3,7.9,9.3,30,216
2.4,4,A6,X,11.3,8.7,10.1,28,238
2.4,4,M5,X,10.2,8.3,9.3,30,219
2.4,4,A6,X,11.7,9.2,10.6,27,249
2.4,4,AV,X,11.7,10.3,11.1,25,259
2.4,4,M5,X,10.6,8.7,9.8,29,230
3.6,6,A8,X,12.7,9.6,11.3,25,265
5.7,8,A8,X,16.6,10.7,14,20,328
6.4,8,A8,Z,18.3,12.6,15.7,18,368
2.4,4,A6,X,10.6,7.6,9.3,30,218
2.4,4,M6,X,10.4,7.3,9,31,211
2.4,4,A9,X,10.8,7.8,9.5,30,222
2.4,4,M6,X,10.8,7.6,9.4,30,221
2,4,AV,X,10.8,9,10,28,235
2,4,M5,X,10.3,7.9,9.3,30,216
2.4,4,A6,X,11.3,8.7,10.1,28,238
2.4,4,M5,X,10.2,8.3,9.3,30,219
2.4,4,A6,X,11.7,9.2,10.6,27,249
2.4,4,AV,X,11.7,10.3,11.1,25,259
2.4,4,M5,X,10.6,8.7,9.8,29,230
1.4,4,M6,X,9.9,7.7,8.9,32,209
2.4,4,A9,X,10.8,7.8,9.5,30,222
2.4,4,A9,E,14.4,10.2,12.5,23,206
1.4,4,M6,X,9.9,7.7,8.9,32,211
2.4,4,A9,X,11.2,8.2,9.8,29,230
3.6,6,A5,X,14.1,11.1,12.8,22,299
3.6,6,M6,X,14.2,11,12.8,22,298
3.6,6,A5,X,14.7,11.7,13.4,21,313
3.6,6,M6,X,15,11.4,13.3,21,312
3.3,6,AS8,X,11.5,8.5,10.2,28,237
2,4,AS6,X,7.9,6.3,7.2,39,170
2,4,AS6,X,9.4,7,8.3,34,198
2,4,M6,X,9.4,6.8,8.3,34,195
1.6,4,AM7,X,9.4,7.9,8.7,32,207
2,4,AS6,X,9.7,7,8.3,34,197
2,4,M6,X,9.8,7.3,8.7,32,204
1.6,4,AM7,X,9.6,7.4,8.6,33,204
1.6,4,M6,X,10.1,8,9.2,31,216
2,4,AS6,X,9.6,7.3,8.6,33,203
2,4,M6,X,9.9,7.6,8.8,32,209
3.8,6,AS8,X,13.8,9.3,11.8,24,279
5,8,AS8,Z,15.6,10.6,13.3,21,317
1.6,4,AM6,X,4.6,5.1,4.8,59,114
1.6,4,AM6,X,4.5,4.8,4.7,60,110
1.6,4,AM6,X,5.1,5.8,5.4,52,129
2.4,4,AS6,X,9.6,6.8,8.4,34,198
2.4,4,AS6,X,9.3,6.6,8,35,190
2,4,AS6,X,10.9,7.6,9.4,30,224
2,4,AS6,X,6,5.1,5.6,50,132
1.6,4,AS6,X,8.8,6.5,7.8,36,181
1.6,4,M6,X,8.8,6.6,7.8,36,181
2,4,AS6,X,9.9,7.6,8.9,32,210
3.3,6,AS6,X,13.2,9.7,11.6,24,275
3.3,6,AS6,X,12.9,9.5,11.4,25,269
3.3,6,AS6,X,14.1,10.5,12.5,23,296
2.4,4,AS6,X,11.2,8.3,9.9,29,234
2,4,AS6,X,12.3,9.4,11,26,259
2.4,4,AS6,X,11.5,9.3,10.5,27,246
3.3,6,AS6,X,14,10.1,12.2,23,289
3.3,6,AS6,X,13.2,9.3,11.4,25,270
1.6,4,AS6,X,9.4,7.8,8.7,32,205
1.6,4,M6,X,9.7,7.8,8.8,32,208
2,4,AS6,X,9.5,7.8,8.7,32,206
1.6,4,AM7,X,9.1,7.7,8.5,33,199
2.4,4,AS6,X,10.4,8,9.3,30,220
2,4,AS6,X,11.9,10.2,11.1,25,263
2.4,4,AS6,X,11.3,9.5,10.5,27,247
6.5,12,AM7,Z,22.2,12.7,17.9,16,428
6.5,12,AM7,Z,23.9,14.5,19.7,14,461
6.5,12,AM7,Z,23,13.5,18.7,15,438
6.5,12,AM7,Z,23.9,14.5,19.7,14,461
5.2,10,AM7,Z,16.4,11.4,14.2,20,331
5.2,10,AM7,Z,16.9,11.8,14.6,19,340
2,4,AS9,Z,12,9.2,10.7,26,252
2,4,AS9,Z,11.3,8,9.8,29,231
2,4,AS9,Z,12,8.5,10.4,27,243
1.8,4,AV,X,5.5,5.9,5.7,50,132
2.5,4,AV6,X,5.8,6.1,5.9,48,139
3.5,6,AS6,X,11.4,7.7,9.7,29,226
3.5,6,AS6,Z,12.4,9.2,11,26,257
3.5,6,AV8,Z,8,6.9,7.5,38,176
5,8,AS8,Z,14.9,9.7,12.5,23,293
4.6,8,AS6,Z,16,12.9,14.6,19,341
2,4,AS8,Z,10.6,7.3,9.1,31,214
3.5,6,AS6,Z,12.6,9.2,11,26,258
3.5,6,AS6,Z,12.6,9.2,11,26,258
4.6,8,AS8,Z,15.1,10.3,12.9,22,303
4.6,8,AS8,Z,15.1,10.3,12.9,22,303
5.7,8,AS8,Z,18.2,13,15.8,18,372
2,4,AS6,Z,10.7,8.5,9.7,29,226
2,4,AS6,Z,10.8,8.9,9.9,29,232
2.5,4,AV6,X,7.2,7.9,7.5,38,176
3.5,6,AS6,Z,12.6,9.2,11,26,258
3.5,6,AS6,Z,12.6,9.2,11,26,258
5,8,AS8,Z,15.2,9.5,12.6,22,289
3.5,6,AS8,X,12.2,9,10.8,26,252
3.5,6,AV6,Z,7.5,8.4,7.9,36,185
2.7,6,AS6,X,14,9.5,12,24,281
3,6,AS6,X,14.4,9.7,12.3,23,288
3.7,6,AS6,X,14.3,9.7,12.2,23,287
2,4,AS6,X,12.3,9.3,10.9,26,256
2,4,AS6,X,12.1,9.3,10.8,26,254
2.3,4,AS6,X,13.1,9.4,11.4,25,268
3.5,6,AS6,X,15.7,11.2,13.7,21,321
3.7,6,A6,X,14.7,10.2,12.7,22,298
2.7,6,AS6,X,14.1,9.8,12.1,23,284
3.7,6,AS6,X,14.4,10.3,12.5,23,293
2,4,AS6,X,11.2,7.6,9.8,29,230
3,6,AS6,X,13.4,8.7,11.2,25,264
2,4,AS6,X,11.8,8.4,10.2,28,239
3,6,AS6,X,14,9.2,11.8,24,278
2,4,AV,X,5.7,6.2,5.9,48,139
3.5,6,AS6,X,15.9,12,14.2,20,333
3.5,6,AS6,X,16.1,12.4,14.5,19,339
3,6,AS8,Z,14.1,9.8,12.4,23,286
3,6,AS8,Z,14.7,10,12.4,23,293
3,6,AS8,Z,14.7,9.9,12.6,22,295
4.7,8,AS6,Z,18.2,11.4,15.1,19,355
4.7,8,AS6,Z,18.2,11.6,15.2,19,358
3,6,AS8,Z,16.8,11.9,14.7,19,340
3,6,AS8,Z,16.8,12.4,14.7,19,346
3.8,8,AS8,Z,16.1,10.8,13.8,20,321
3,6,AS8,Z,14.9,10.3,13.1,22,300
3,6,AS8,Z,15,10.3,13.1,22,301
2,4,AS6,X,8.2,6.9,7.6,37,179
2,4,AS6,X,8.8,7.5,8.2,34,192
2,4,M6,X,9.4,7.4,8.5,33,199
2.5,4,AS6,X,9.8,7.7,8.6,33,204
2.5,4,AS6,X,10.2,8.3,9.2,31,221
2.5,4,AS6,X,10.6,8.4,9.6,29,225
2.5,4,AS6,X,11.5,8.9,10.4,27,242
2,4,AS6,X,8.4,6.4,7.5,38,176
2,4,M6,X,8.5,6.2,7.5,38,175
2,4,M6,X,8.5,6.2,7.5,38,175
2.5,4,AS6,X,8.8,6.6,7.8,36,182
2.5,4,AS6,X,8.5,6.4,7.6,37,176
2.5,4,M6,X,9.3,6.9,8.2,34,194
2,4,AS6,X,8.4,6.4,7.5,38,174
2,4,M6,X,8.6,6.4,7.6,37,178
2.5,4,AS6,X,9,6.7,7.8,36,183
2.5,4,AS6,X,8.7,6.6,7.8,36,181
2.5,4,M6,X,9.6,7,8.4,34,198
2.5,4,AS5,X,10.8,8.2,9.6,29,226
2.5,4,M6,X,11.1,8.3,9.8,29,230
2.5,4,AS6,X,9.1,6.7,8,35,187
2.5,4,AS6,X,8.9,6.7,7.9,36,186
2.5,4,M6,X,9.8,6.9,8.4,34,196
2,4,AS6,Z,9,6.7,8,35,187
2,4,M6,Z,8.9,7.1,8.1,35,190
4,8,AS7,Z,13.4,9.6,11.7,24,273
4,8,AS7,Z,14,10.1,12.2,23,291
4,8,AS7,Z,13.8,10.1,12.1,23,285
4,8,AS7,Z,13.4,9.6,11.7,24,273
4,8,AS7,Z,14,10.1,12.2,23,291
4,8,AS7,Z,13.8,10.1,12.1,23,285
2,4,AS7,Z,10.7,7.6,9.3,30,221
5.5,8,AS7,Z,15.1,10.8,13.1,22,308
5.5,8,AS7,Z,20,16.6,18.5,15,413
6,12,AS7,Z,22.2,18,20.3,14,467
2,4,AS7,Z,11.3,8.5,10,28,233
3,6,A9,Z,17.4,11.1,14.6,19,353
3,6,A9,Z,13.6,10.1,12,24,281
3,6,A9,Z,13.6,10.2,12,24,281
5.5,8,AS7,Z,17.3,13.5,15.6,18,363
5.5,8,AS7,Z,17.2,12.8,15.2,19,363
5.5,8,AS7,Z,18.2,14,16.3,17,369
4,8,AS7,Z,14.5,10.8,12.8,22,303
4,8,AS7,Z,14.5,10.8,12.8,22,303
5.5,8,AS7,Z,15.7,10.1,13.2,21,313
5.5,8,AS7,Z,16.4,10.6,13.8,20,322
5.5,8,AS7,Z,15.3,10.2,13,22,305
6,12,AS7,Z,17.6,10.9,14.6,19,349
6,12,AS7,Z,17.1,11,14.3,20,348
6,12,AS7,Z,18.7,11.6,15.5,18,365
5.5,8,AS7,Z,14.7,9.5,12.4,23,298
6,12,AS7,Z,17.6,10.8,14.5,19,340
3,6,A9,Z,11.6,8.2,10.1,28,234
2,4,AS7,Z,9.7,6.6,8.3,34,179
2,4,AS7,Z,10.1,7.8,9,31,212
2,4,A9,Z,10.8,8,9.5,30,222
2,4,AS7,Z,10.4,8,9.3,30,218
2,4,AS7,Z,9.6,6.4,8.1,35,190
4.7,8,A9,Z,13.6,9.4,11.7,24,275
2,4,A9,Z,10.8,8.1,9.5,30,246
3,6,A9,Z,11.8,8.6,10.4,27,245
3,6,A9,Z,12.4,9.3,11,26,259
3,6,AS7,Z,11.5,8.1,10,28,233
3,6,AS7,Z,11.8,8.4,10.2,28,239
4.7,8,AS7,Z,13.7,9.2,11.7,24,275
4.7,8,AS7,Z,13.4,8.9,11.4,25,268
4,8,AS7,Z,19,16.6,17.9,16,401
2,4,AS7,Z,10.3,7.6,9.1,31,212
2,4,AS7,E,13.6,10,12,24,128
2,4,A9,Z,11.1,8.5,10,28,233
3,6,A9,Z,13.1,10.1,11.7,24,276
4.7,8,A9,Z,15.3,11.3,13.5,21,318
3,6,A9,Z,14.4,11.4,13,22,306
4.7,8,A9,Z,16.7,12.9,15,19,347
6,12,AS7,Z,18.2,11,15,19,359
2,4,AS7,Z,11.1,9.1,10.2,28,240
2,4,AS7,Z,11.5,9.3,10.5,27,248
3,6,AS7,Z,12.6,8.6,10.8,26,253
4.7,8,A9,Z,14.3,9.2,12,24,280
4.7,8,A9,Z,14.3,9.2,12,24,280
4.7,8,A9,Z,13.9,9.3,11.8,24,276
4.7,8,A9,Z,14.1,9.3,11.9,24,278
6,12,AS7,Z,17.5,10.8,14.5,19,350
3,6,A9,Z,11.5,8.4,10.1,28,237
4.7,8,A9,Z,13.6,9.5,11.7,24,275
2,4,A9,Z,9.5,7.2,8.5,33,200
1.5,3,AS6,Z,8.8,6.8,7.9,36,184
1.5,3,M6,Z,8.5,6.2,7.5,38,175
1.5,3,AS6,Z,8.8,6.8,7.9,36,184
1.5,3,M6,Z,8.5,6.3,7.5,38,175
1.5,3,AS6,Z,9.5,7.2,8.4,34,197
1.5,3,M6,Z,9.6,7,8.4,34,197
1.5,3,AS8,Z,10.2,7.8,9.1,31,213
1.5,3,M6,Z,10.6,7.4,9.1,31,214
1.5,3,AS6,Z,8.8,6.8,7.9,36,184
1.5,3,M6,Z,8.5,6.3,7.5,38,175
1.5,3,AS6,Z,9.5,7.2,8.4,34,197
1.5,3,M6,Z,9.6,7,8.4,34,197
1.5,3,AS8,Z,10.3,7.9,9.2,31,215
1.5,3,M6,Z,10.6,7.4,9.1,31,214
2,4,AS6,Z,9.3,7.2,8.3,34,196
2,4,M6,Z,10.2,7.3,8.9,32,210
2,4,AS6,Z,9.3,7.2,8.3,34,196
2,4,M6,Z,10.2,7.3,8.9,32,210
2,4,AS8,Z,10,7.2,8.7,32,205
2,4,M6,Z,10.8,7.7,9.4,30,220
2,4,AS8,Z,10.2,7.4,9,31,210
2,4,M6,Z,11.4,7.8,9.7,29,227
2,4,AS6,Z,9.4,7.2,8.4,34,196
2,4,M6,Z,10.2,7.3,8.9,32,210
2,4,AS8,Z,10.5,7.4,9.1,31,213
2,4,M6,Z,11.3,7.7,9.7,29,227
2,4,AS6,Z,9.3,7.2,8.3,34,196
2,4,M6,Z,10.2,7.3,8.9,32,210
2,4,AS8,Z,10.2,7.4,9,31,210
2,4,M6,Z,11.4,7.8,9.7,29,227
2,4,AS6,Z,9.4,7.2,8.4,34,196
2,4,M6,Z,10.8,7.7,9.4,30,220
2,4,AV6,X,8.7,6.9,7.9,36,183
2,4,M5,X,9.7,7.1,8.5,33,200
2.4,4,AV6,X,9.9,7.7,8.9,32,206
2.4,4,M5,X,10.5,7.8,9.3,30,218
2.4,4,AV6,X,10.2,7.9,9.2,31,212
2,4,AV6,X,9.3,7.2,8.4,34,194
2,4,M5,X,9.9,7.3,8.7,32,205
1.2,3,AV,X,6.4,5.5,6,47,141
1.2,3,M5,X,7.1,5.8,6.5,43,150
1.2,3,AV,X,6.9,5.7,6.4,44,149
1.2,3,M5,X,7.2,5.9,6.6,43,155
2.4,4,AV6,X,9.2,7.5,8.4,34,197
2.4,4,AV6,X,9.8,8.1,9,31,211
3,6,AS6,Z,11.9,8.5,10.4,27,242
2,4,AV6,X,9.7,7.8,8.8,32,204
2,4,M5,X,10.3,8.2,9.3,30,216
2,4,AV6,X,10.1,8.2,9.2,31,213
3.7,6,AS7,Z,12.6,9.3,11.1,25,261
3.7,6,M6,Z,13.3,9.3,11.5,25,269
3.7,6,AS7,Z,13,9.7,11.5,25,270
3.7,6,M6,Z,13.6,9.7,11.8,24,278
2.5,4,AV,X,8.8,6,7.5,38,176
3.5,6,AV7,X,10.6,7.3,9.1,31,214
2.5,4,AV7,X,8.8,6.5,7.8,36,183
5.6,8,AS7,X,17.5,12.9,15.4,18,362
2.5,4,A5,X,13.5,10.5,12.2,23,286
2.5,4,M5,X,12.2,10.4,11.4,25,268
4,6,A5,X,14.8,10.6,12.9,22,304
4,6,A5,X,15.8,11.5,13.8,20,326
4,6,M6,X,15.1,11.5,13.5,21,317
3.8,6,AM6,Z,14.5,10.7,12.8,22,300
1.6,4,AV7,Z,8.5,7.5,8,35,189
1.6,4,M6,Z,8.6,7.2,8,35,188
1.6,4,AV7,Z,9,7.8,8.4,34,199
1.6,4,M6,Z,9,7.6,8.4,34,197
1.6,4,AV8,Z,9.5,8.3,8.9,32,209
3.5,6,AV7,Z,11.1,7.8,9.6,29,225
1.6,4,A4,X,8.9,6.8,7.9,36,186
1.6,4,M5,X,8.7,6.8,7.9,36,185
3.5,6,AV7,X,11,8.3,9.8,29,230
3.5,6,AV7,X,11.2,8.4,9.9,29,232
2,4,AV,X,9.8,9,9.4,30,220
3.5,6,AV,X,11.6,8.5,10.2,28,240
3.5,6,AV,X,12.1,8.9,10.7,26,250
3.5,6,AV,X,12.4,9.2,11,26,258
2,4,AV,X,8.8,7.3,8.1,35,191
2,4,M6,X,10,8.1,9.2,31,216
2,4,AV,X,9.1,7.5,8.4,34,197
2.5,4,AV,X,9.2,7,8.2,34,192
2.5,4,AV,X,9.6,7.4,8.6,33,203
1.6,4,AV7,Z,8.9,7.3,8.2,34,193
1.6,4,M6,Z,9.1,7.3,8.3,34,195
1.8,4,AV,X,8.1,6.3,7.3,39,171
1.8,4,M6,X,9,6.8,8,35,187
1.6,4,AV7,Z,9.4,7.8,8.7,32,205
1.6,4,M6,Z,9.5,7.6,8.7,32,204
5.6,8,AS7,X,15,11.2,13.3,21,312
5.6,8,AS7,X,15.2,11.1,13.4,21,315
5.6,8,AS7,X,16,12,14.2,20,333
1.6,4,AV,X,7.6,6.2,7,40,164
1.6,4,M5,X,8.6,6.6,7.7,37,180
3,6,AM7,Z,10.6,8,9.4,30,221
3,6,M7,Z,11.8,8.1,10.1,28,237
3,6,AM7,Z,10.8,8.3,9.7,29,227
3,6,M7,Z,12,8.2,10.3,27,241
3,6,AM7,Z,10.8,8.3,9.7,29,226
3,6,M7,Z,12.1,8.3,10.4,27,242
3,6,AM7,Z,10.8,8.4,9.7,29,228
3,6,M7,Z,12.1,8.3,10.4,27,243
3,6,AM7,Z,10.7,8.3,9.6,29,225
3,6,M7,Z,12.1,8.3,10.4,27,242
3,6,AM7,Z,11,8.4,9.8,29,230
3,6,M7,Z,12.2,8.5,10.5,27,246
3,6,AM7,Z,11,8.5,9.9,29,232
3,6,M7,Z,12.1,8.4,10.4,27,243
3,6,AM7,Z,10.9,8.5,9.9,29,231
3,6,M7,Z,12.2,8.5,10.5,27,246
3,6,AM7,Z,10.9,8.4,9.8,29,228
3,6,M7,Z,12.2,8.5,10.5,27,246
3,6,AM7,Z,11.1,8.6,10,28,233
3,6,M7,Z,12.2,8.5,10.5,27,246
3.8,6,AM7,Z,12.6,9.9,11.4,25,266
3.8,6,AM7,Z,12.6,9.9,11.4,25,267
3.8,6,AM7,Z,12.6,9.9,11.4,25,266
3.8,6,AM7,Z,12.6,9.9,11.4,25,267
2,4,AM7,Z,10.5,8,9.4,30,219
2,4,M6,Z,11,8.3,9.8,29,229
2.5,4,AM7,Z,11,8.4,9.9,29,230
2.5,4,M6,Z,12.1,9,10.7,26,249
3.6,6,A8,Z,12.9,9.7,11.5,25,268
3.6,6,A8,Z,13.6,10.2,12.1,23,281
3.6,6,A8,Z,13.9,9.6,12,24,281
3.6,6,A8,Z,14.5,10.4,12.6,22,296
4.8,8,A8,Z,16.7,11.2,14.2,20,334
4.8,8,A8,Z,16.7,11.2,14.2,20,334
2,4,AM7,Z,10.5,8,9.4,30,219
2,4,M6,Z,11,8.3,9.8,29,229
2.5,4,AM7,Z,11,8.4,9.9,29,230
2.5,4,M6,Z,12.1,9,10.7,26,249
2,4,A7,Z,11.6,9.3,10.6,27,248
3,6,A7,Z,13.7,10.3,12.2,23,285
3,6,A7,Z,13.8,10.3,12.3,23,287
3.6,6,A7,Z,14.2,10.1,12.3,23,287
3.6,6,A8,X,13.9,9.6,11.9,24,280
3.6,6,A8,E,19.7,13.8,17,17,283
